Product_brand,Product_category,Product_details,Product_name,Product_price,Product_rating,Product_size,Top_category,Tot_reviews
bareMinerals,Face,"Make the most of your makeup with Mineral Veil, a see-through but spectacular finale for any kind of complexion. Z And best of all, it's utterly weightless. Just a bare veil of minerals that lock makeup in place and give your skin airbrushed perfection.",Mineral Veil Finishing Powder,$24.00,4.60 out of 5 stars,Size 0.3 oz,Makeup,2065
Pacifica,Face,"Refuse to obey time. Life is rosy. Live it up with your beautiful skin. Pacifica's Rose water-infused natural fiber towelettes wipe away toxins, makeup and dirt from the day and clean up your pretty face. Use prior to moisturizer or in conjunction with your favorite Pacifica micellar water.",Rose Water Makeup Removing Wipes,$5.00,2.90 out of 5 stars,Size 10 ct,Makeup,17
ULTA,Face,"Ulta's On-The-Fly Face Prep Duo features a moisturizing balm on one end and a face primer on the other, an essential for a First-Class face on-the-fly.",First-Class Face Prep Duo,$16.00,,Item 2556348,Makeup,
Revlon,Face,"Revlon Powder Blush; blush, your way, with powdery soft, buildable color. Color-true pigments create a luscious, defined look that lasts all day.",Powder Blush,$11.99,4.20 out of 5 stars,Size 0.17 oz,Makeup,5
L'Oréal,Face,"Discover the secret for a longwear luminous look that lasts. L'Oreal's Infallible Pro Glow Lock Primer primes, perfects and illuminates while it hydrates skin for a better makeup application. Illuminating face primer leaves skin with a healthy, radiant glow that lasts all day.",Infallible Pro Glow Lock Primer,$12.99,3.00 out of 5 stars,Size 0.1 oz,Makeup,22
ZOEVA,Face,ZOEVA Liquid Light Drops are a lightweight liquid serum highlighter for a natural-looking dewy glow or a dazzling radiant look enriched with rose hip oil.,Liquid Light Drops,$22.00,4.50 out of 5 stars,Size 0.47 oz,Makeup,2
Physicians Formula,Face,"From light to dark, the possibilities are endless with Physicians Formula Magic Mosaic Multi-Colored Powder!",Magic Mosaic Multi-Colored Powder,$14.99,3.80 out of 5 stars,Size 0.3 oz,Makeup,54
Flesh,Face,Only at ULTA!,Flesh To Flesh Highlighting Powder,$28.00,4.40 out of 5 stars,Size 0.3 oz,Makeup,25
Maybelline,Face,Maybelline's FaceStudio Master Prime Hydrate + Smooth Primer is formulated with a water-soluble base and active ingredients that refine the look and feel of skin and keep makeup in place from morning to night.,FaceStudio Master Prime Hydrate + Smooth Primer,$9.99,3.90 out of 5 stars,Size 0.005 oz,Makeup,70
NARS,Face,"Orgasm gets loose. This silky, soft-lit loose powder blends effortlessly onto skin with a glimmering finish. In the cult-classic Orgasm hue, the formula features shimmer powders that reflect light off skin for a naturally glowing look. This versatile powder can be used to illuminate and accentuate the high points of the face and décolleté. Feel turned on. Command attention with illuminating dimension.",Illuminating Loose Powder,$28.00,4.70 out of 5 stars,Size 0.09 oz,Makeup,26
e.l.f. Cosmetics,Gifts & Value Sets,"The e.l.f. Cosmetics Bite Sized Eyeshadow Palette delivers mini eye magic in a perfect size. The luxe formula is creamy, blendable, & ultra-pigmented. Perfect for travel and application on the go.",Cream & Sugar Bite Size Eyeshadow Palette,$3.00,,Size 0.12 oz,Makeup,
NYX Professional Makeup,Travel Size,"Love the look of a lash lift but not the price? Enter NYX Professional Makeup On The Rise Liftsacara. This ultra-high pigmented, vegan formula, matte black mascara is the first ever lifting and volumizing liftascara. Delivering quick-charge lift and volume in just a few strokes. Featuring an innovative applicator that¿s part rounded, part hourglass to lift you lashes up to new heights! The ""curling"" effect results in a far-reaching fringe so that eyes look bigger and lashes look thicker, making it our most dramatic mascara to date. Also cool: it works for all lash types.",On The Rise Volume Liftscara Mini,$6.00,,Size 0.16 oz,Makeup,
ULTA,ULTA Collection,Ulta's Buckle Up Matte Liquid Lipstick & Lip Gloss Duo is a no-brainer for on-the-road glam. This dual ended matte liquid lipstick and lip gloss duo lets you choose between matte or glossy in a pinch. Shades include: burnt rose matte and a clear gloss.,Buckle Up Matte Liquid Lipstick & Lip Gloss Duo,$12.00,,Item 2556352,Makeup,
Miamica,Makeup Bags & Cases,Miamica Travel Accessories 2 Ounce Fingertip Sprayer with assorted color sprayers.,Travel Finger Tip Sprayer,$1.99,,Item 2557869,Makeup,
W3LL PEOPLE,Makeup Brushes & Tools,"The W3LL PEOPLE Kabuki Brush is made with premium Taklon Nylon to ensure featherlight, professional application. Cruelty-free.",Online Only Kabuki Brush,$40.99,3.00 out of 5 stars,Item 2553257,Makeup,2
Lipstick Queen,Lips,Lipstick Queen Exact Match Lip Liner beautifully defines the lips and keeps lip color in place.,Exact Match Lip Liner,$12.97,4.50 out of 5 stars,Size 0.04 oz,Makeup,86
Revlon,Eyes,"Revlon's Dramatic Definition Waterproof Mascara has a smooth, flexible formula that coats lashes for clump-free separation. This mascara also includes the Revlon Lash Separator Brush.",Dramatic Definition Waterproof Mascara,$8.49,4.00 out of 5 stars,Size 0.28 oz,Makeup,9
Makeup Revolution,Eyes,"Looking for a precise eyeliner with ultimate control? The Makeup Revolution Super Flick Eyeliner is perfect for creating thin &a sharp lines. The flexible, pointed tip allows for the ultimate control and precise application.",Super Flick Eyeliner,$7.00,,Size 0.019 oz,Makeup,
Thrive Causemetics,Eyes,"Powered by Ring Light Technology to diffuse light and define features, Brilliant Eye Brightener highlights, brightens and opens the eyes, providing an instant eye lift. Infused with macadamia and meadowfoam oil to hydrate and help reduce the appearance of fine lines. Thrive Causemetics long-lasting, waterproof formula complements every skin tone and highlights all of your best features.",Brilliant Eye Brightener,$24.00,3.80 out of 5 stars,Size 0.049 oz,Makeup,6
Thrive Causemetics,Eyes,"Instantly create the look of lash extensions with Thrive Causemetics Liquid Lash Extensions Mascara, a groundbreaking mascara powered by technology that won't clump, flake or smear.",Liquid Lash Extensions Mascara,$24.00,4.50 out of 5 stars,Size 0.38 oz,Makeup,124
L.A. Girl,Eyes,L.A. Girl Brow Bestie Pencil features a twistable triangle tip and convenient built in spoolie. Use the pencil to outline and define brows.,Brow Bestie,$6.99,,Size 0.008 oz,Makeup,
L.A. Girl,Eyes,"L.A. Girl Brow Bestie Gel Kit is a smudge proof, long wearing gel with a small spoolie wand and inlcudes a separate dual -ended brush/spoolie.",Brow Bestie With Brush,$7.99,,Size 0.008 oz,Makeup,
Lilly Lashes,Eyes,"This soft touch, triple action Matte Black Lash Applicator from Lilly Lashes brings multi-functionality and ease all in one. Designed with a hand-filed pointed tip, falsies can be easily removed from their tray while allowing for a gentle but firm grip for precision application to inner and outer corners of eyes. Also can also be used as tweezers! Additionally, features an evenly spaced comb, helping to gently define and smooth lashes and brows.",Online Only Matte Black Eyelash Applicator,$13.00,,Item 2561546,Makeup,
L.A. Girl,Eyes,"The L.A. Girl 16 Color Mastery Eyeshadow Palette has 16 highly pigmented & blendable shades. From vibrant shimmers to bold mattes. Including nude & vibrant shades, create endless & versatile artistry & everyday looks. Mirror included.",16 Color Mastery Eyeshadow Palette,$15.99,,Size 1.23 oz,Makeup,
House of Lashes,Eyes,"2018 Allure Best of Beauty Award, Winner: House of Lashes Lash Adhesive, Best Beauty Tools.",Online Only Clear Lash Adhesive,$8.00,,Item 2562415,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL30! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL30,$3.99,,Item 2546260,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELTVTL07! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELTVTL07,$4.49,,Item 2546268,Makeup,
BeautyGARDE,Eyes,"Hyped False Lashes from BeautyGARDE are handmade lashes woven into a supple, medium width band that has triple clusters of thick and fluffy lashes for a major lash moment. Inky black, 3D volume and designed to stand out.",Online Only Hyped False Lashes,$12.00,,Item 2535969,Makeup,
Holika Holika,Eyes,"Holika Holika Tail Lasting Liquid Liner allows you to achieve accurate and outstanding eye makeup with the help of a convenient and richly saturated eyeliner. This liner is equipped with a soft, elastic brush with the finest tip easy to express delicate to thick eye line.",Online Only Tail Lasting Liquid Liner,$12.00,,Size 0.017 oz,Makeup,
L.A. Girl,Eyes,"The L.A. Girl 16 Color Artistry Eyeshadow Palette has 16 highly pigmented & blendable shades. From vibrant shimmers to bold mattes. Including nude & vibrant shades, create endless & versatile artistry & everyday looks. Mirror included.",16 Color Artistry Eyeshadow Palette,$15.99,,Size 1.23 oz,Makeup,
Holika Holika,Eyes,"Holika Holika Cubby Cara helps with powerful volume expression for defined looking eyes with its long lasting formula without smudging. This mascara has a rich, dense texture, which allows you to cover every eyelash, by giving them an extraordinary volume and expressive look.",Online Only Holi Pop Chubby Cara Volume Mascara,$10.00,,Size 0.28 oz,Makeup,
Elcie Cosmetics,Eyes,"Get lashfull with Elcie Cosmetics' all in one mascara, combining volume, length and definition for the maximum lash effect. Lashfull Mascara was created with a special combination of waxes, this mascara will amplify your lashes while leaving it smooth and flexible.",Online Only Lashfull Mascara,$24.00,3.80 out of 5 stars,Size 0.49 oz,Makeup,17
Ardell,Eyes,Outline eyes and give lashes extra oomph with Ardell Beauty's Lash Boostier Liquid Eyeliner. This liner and lash serum in one defines eyes as it delivers a nourishing boost to lashes. Black liquid liner draws a flawless smooth line for an instant bold look while the strengthening serum inside promotes the appearance of thicker lashes.,Online Only Lash Boostier Liquid Eyeliner,$7.99,2.30 out of 5 stars,Size 0.05 oz,Makeup,3
Revolution PRO,Eyes,Makeup That Does More. More than just an eyeliner! The Revolution PRO 24hr Lash Day & Night Liner Pen contains millet seed extract to make lashes visibly appear longer and thicker.,24hr Lash Day & Night Liner Pen,$9.00,,Size 0.05 oz,Makeup,
Estée Lauder,Eyes,Soft. Subtle. Seductive.,Online Only Sumptuous Nudes Silky-Smooth Eyeshadow Palette,$52.00,,Item 2561488,Makeup,
FLOWER Beauty,Eyes,"FLOWER Beauty's Draw the Line Eyebrow Pencil is perfect for everyday wear. FLOWER Beauty's smudge-resistant, long-lasting formula with vitamin E means your brows stay put all day with an untraceable finish. The self-sharpening pencil and mini eyebrow brush gives you beautiful results in a convenient travel ready pencil.",Draw The Line Eyebrow Pencil,$7.99,4.10 out of 5 stars,Size 0.007 oz,Makeup,26
e.l.f. Cosmetics,Eyes,The e.l.f. Cosmetics Velvet Eyeshadow Palette provides radiant color with a dewy finish. The mix of satin and shimmery hues creates dynamic dimension on the lid. The formula is light like a powder but melts into the skin like a cream allowing for customizable color from sheer to bold.,Online Only Velvet Eyeshadow Palette,$12.00,3.90 out of 5 stars,Size 0.39 oz,Makeup,7
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL05! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL05,$3.99,,Item 2546263,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL15! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL15,$3.99,,Item 2546270,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL101! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL101,$3.99,,Item 2546272,Makeup,
Holika Holika,Eyes,"Holika Holika Holi Pop Double Eyelid Liner has an ultra-thin brush that allows for elaborate and neat eyelid drawing. 1-second correction allows for short, dim double eyelids with a long lasting formula resist against smudging.",Online Only Holi Pop Double Eyelid Liner,$9.00,,Size 0.02 oz,Makeup,
Beauty by POPSUGAR,Eyes,"Cruelty- free, Non-toxic, and Gluten-free.",Online Liquid Eyeliner,$21.00,3.40 out of 5 stars,Size 0.034 oz,Makeup,18
Lottie London,Eyes,"Achieve instant lash lift with Lottie London's #CURLBOSS ultra-curling, lengthening mascara. One quick swipe instantly lifts lashes or layer for a more intense, curled, long lash look! Created to capture every lash, gently swipe from lash root to tip for ultra-curled, black lashes. Define the lashes for a fluttery effect that brightens and opens the eye up.",Online Only #CURLBOSS Ultra-Curling Mascara,$7.95,,Size 0.32 oz,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL12! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL12,$3.99,,Item 2546264,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELT82! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELT82,$4.49,5.00 out of 5 stars,Item 2546288,Makeup,1
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELT46! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELT46,$4.49,,Item 2546286,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL47! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL47,$3.99,,Item 2546267,Makeup,
L.A. Girl,Eyes,"L.A. Girl Line Art Matte Eyeliner contains a quick drying, smudge-proof and water resistant formula that provides long lasting wear while soft flexible fine tip brush ensures even and playful lining. High intensity pigment delivers rich color pay-off. Create precise thin lines and dramatic thick lines in one even stroke.",Line Art Matte Eyeliner Pen,$1.97,2.60 out of 5 stars,Size 0.014 oz,Makeup,12
Beauty by POPSUGAR,Eyes,"Cruelty- free, Non-toxic, Gluten-free, and Vegan.",Triple Play 3 In 1 Brow,$23.00,3.20 out of 5 stars,Size 0.066 oz,Makeup,6
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELTVTL05! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELTVTL05,$4.49,,Item 2546279,Makeup,
FLOWER Beauty,Eyes,"FLOWER Beauty's Shimmer & Shade Eyeshadow Palette features ten flattering shades to mix and layer. This creamy formula is triple-pressed, removing any excess water, giving our powders a unique velvety, lightweight, and silky texture. The result is superb adherence to the eyes, silky blendability, and pure color intensity. Use with a wet brush for an even more intensified, dramatic effect or liner look.",Shimmer & Shade Eyeshadow Palette,$16.99,4.40 out of 5 stars,Size 0.3 oz,Makeup,40
Holika Holika,Eyes,Holika Holika Fixing Cara has a half-transparent formula that naturally gives the eyelash a fixing effect and keeps the curl all day long without smudging. This 3-in-1 Multi Mascara volumizes & curls your eyelashes + Long-lasting fixer + Natural eyelash.,Online Only Holi Pop Fixing Cara Mascara,$9.00,,Size 0.32 oz,Makeup,
Winky Lux,Eyes,"Get caught in the rain, have a good cry - no raccoon eyes here! Reach for Winky Lux Feliner Pencil Eyeliner when you want a defined eye that just won't quit. This high-pigment, budge-proof formula lasts up to 16-hours and is 100% waterproof.",Online Only Feliner Pencil Eyeliner,$13.00,,Item 2549405,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL28! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL28,$3.99,,Item 2546259,Makeup,
L.A. Girl,Eyes,"Fuel your sparkle addiction with L.A. Girl's Glitterholic Gliter Toppers. Multi-dimensional formula instanly adds glitter for any occasion. Use alone or over eyeshadow. From Subtle shine to full glam, easily am up any look!",Glitterholic Gliter Topper,$5.99,,Size 0.04 oz,Makeup,
Lottie London,Eyes,Lottie London's Arch Rival Collection has all your brow dilemmas covered. Their Arch Rival Brow Artist Retractable Eyebrow Pencil is ideal for filling in those gaps and saying goodbye to unruly and sparse eyebrows. Available in shades to suit all hair tones.,Online Only Arch Rival Brow Artist Retractable Eyebrow Pencil,$6.49,3.70 out of 5 stars,Size 0.001 oz,Makeup,6
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL20! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL20,$3.99,,Item 2546266,Makeup,
Ardell,Eyes,"Double Up Lashes #208 by Ardell have twice the amount lashes for a more dramatic look. Double layer style gives you a fuller, thicker look. Reusable. Made of 100% sterilized human hair, each lash strip is knotted and feathered by hand to achieve the highest quality.",Double Up Lashes #208,$2.79,,Item 2540832,Makeup,
MAC,Eyes,"Long, full, natural-looking. Lashes are handmade to exact specifications.",3 Lash,$17.00,4.00 out of 5 stars,Item 2511603,Makeup,8
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Tapered Lashes + Glue #ELT01! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Tapered Lashes + Glue #ELT01,$4.49,,Item 2546294,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL99! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL99,$3.99,5.00 out of 5 stars,Item 2546297,Makeup,1
Physicians Formula,Eyes,"Physicians Formula Organic Wear Fake Out Mascara is a high-performing, buildable mascara that lengthens, curls, and magnifies lashes for ultimate definition.",Organic Wear Fake Out Mascara In Black,$10.49,,Item 2559293,Makeup,
J.Cat Beauty,Eyes,"Want to enhace you eyes? Wear the J.Cat Beauty Eyelashes + Eyelash Glue #EL747L! It gives you a full, voluminous, and wispy look. Achieve looks from natural to full glam in minutes.",Online Only Eyelashes + Eyelash Glue #EL747L,$3.99,,Item 2546271,Makeup,
